disease name,lncRNA name,score,Rank
laryngeal squamous cell carcinoma,MIAT,0.364,12
laryngeal squamous cell carcinoma,ESRG,0.354,13
laryngeal squamous cell carcinoma,TP53COR1,0.35,14
laryngeal squamous cell carcinoma,AFAP1-AS1,0.35,15
laryngeal squamous cell carcinoma,HULC,0.348,16
laryngeal squamous cell carcinoma,BCYRN1,0.332,17
laryngeal squamous cell carcinoma,EWSAT1,0.302,18
laryngeal squamous cell carcinoma,UCA1,0.294,19
laryngeal squamous cell carcinoma,DANCR,0.274,20
laryngeal squamous cell carcinoma,PCA3,0.262,21
laryngeal squamous cell carcinoma,WT1-AS,0.26,22
laryngeal squamous cell carcinoma,LINC00675,0.258,23
laryngeal squamous cell carcinoma,DISC2,0.24,24
laryngeal squamous cell carcinoma,IGF2-AS,0.236,25
laryngeal squamous cell carcinoma,MIR503HG,0.234,26
laryngeal squamous cell carcinoma,LINC00629,0.234,27
laryngeal squamous cell carcinoma,ATXN8OS,0.23,28
laryngeal squamous cell carcinoma,LINC01556,0.226,29
laryngeal squamous cell carcinoma,LINCMD1,0.22,30
endometriosis,H19,0.732,1
endometriosis,MIR17HG,0.67,2
endometriosis,ESRG,0.664,3
endometriosis,TP53COR1,0.584,4
endometriosis,MALAT1,0.58,5
endometriosis,MEG3,0.568,6
endometriosis,KCNQ1OT1,0.558,7
endometriosis,ATXN8OS,0.54,8
endometriosis,PVT1,0.532,9
endometriosis,MIAT,0.52,10
endometriosis,XIST,0.506,11
endometriosis,HCP5,0.492,12
endometriosis,HOTAIR,0.49,13
endometriosis,MIR155HG,0.464,14
endometriosis,PCA3,0.452,15
endometriosis,GAS5,0.428,16
endometriosis,CDKN2A-AS1,0.4,17
endometriosis,DISC2,0.392,18
endometriosis,NEAT1,0.382,19
endometriosis,PISRT1,0.38,20
endometriosis,BCYRN1,0.362,21
endometriosis,BANCR,0.322,22
endometriosis,MIR100HG,0.312,23
endometriosis,DANCR,0.308,24
endometriosis,HAR1A,0.3,25
endometriosis,HULC,0.296,26
endometriosis,DAOA-AS1,0.292,27
endometriosis,DLEU2,0.29,28
endometriosis,MCHR2-AS1,0.286,29
endometriosis,THRIL,0.274,30
immune system disease,MIR17HG,0.888,1
immune system disease,PVT1,0.872,2
immune system disease,CDKN2B-AS1,0.862,3
immune system disease,MALAT1,0.848,4
immune system disease,H19,0.834,5
immune system disease,HOTAIR,0.826,6
immune system disease,KCNQ1OT1,0.786,7
immune system disease,MIR155HG,0.722,8
immune system disease,MEG3,0.698,9
immune system disease,NEAT1,0.658,10
immune system disease,ESRG,0.634,11
immune system disease,NRON,0.62,12
immune system disease,LINCMD1,0.588,13
immune system disease,ATXN8OS,0.57,14
immune system disease,MIAT,0.55,15
immune system disease,TP53COR1,0.548,16
immune system disease,XIST,0.534,17
immune system disease,AFAP1-AS1,0.504,18
immune system disease,TUG1,0.496,19
immune system disease,BANCR,0.488,20
immune system disease,PCA3,0.482,21
immune system disease,HULC,0.472,22
immune system disease,DISC2,0.472,23
immune system disease,PISRT1,0.414,24
immune system disease,GSTT1-AS1,0.408,25
immune system disease,MIF-AS1,0.404,26
immune system disease,CDKN2A-AS1,0.39,27
immune system disease,TP53TG1,0.378,28
immune system disease,DANCR,0.368,29
immune system disease,LINC00675,0.366,30
glomerulonephritis,ATXN8OS,0.522,1
glomerulonephritis,DANCR,0.478,2
glomerulonephritis,LINCMD1,0.436,3
glomerulonephritis,BCYRN1,0.416,4
glomerulonephritis,KCNQ1OT1,0.404,5
glomerulonephritis,HCP5,0.396,6
glomerulonephritis,AFAP1-AS1,0.374,7
glomerulonephritis,MIAT,0.362,8
glomerulonephritis,GSTT1-AS1,0.362,9
glomerulonephritis,MIF-AS1,0.336,10
glomerulonephritis,TP53COR1,0.334,11
glomerulonephritis,THRIL,0.328,12
glomerulonephritis,PCA3,0.324,13
glomerulonephritis,ESRG,0.324,14
glomerulonephritis,PVT1,0.324,15
glomerulonephritis,CDKN2A-AS1,0.316,16
glomerulonephritis,NEAT1,0.306,17
glomerulonephritis,MIR155HG,0.306,18
glomerulonephritis,PISRT1,0.3,19
glomerulonephritis,MIR17HG,0.298,20
glomerulonephritis,MEG3,0.278,21
glomerulonephritis,CDKN2B-AS1,0.278,22
glomerulonephritis,LINC00163,0.272,23
glomerulonephritis,LINC00299,0.268,24
glomerulonephritis,DISC2,0.268,25
glomerulonephritis,GAS5,0.266,26
glomerulonephritis,H19,0.264,27
glomerulonephritis,IL12A-AS1,0.252,28
glomerulonephritis,MIR100HG,0.25,29
glomerulonephritis,TUG1,0.248,30
carbohydrate metabolic disorder,H19,0.662,1
carbohydrate metabolic disorder,CDKN2B-AS1,0.626,2
carbohydrate metabolic disorder,MEG3,0.592,3
carbohydrate metabolic disorder,MIR17HG,0.58,4
carbohydrate metabolic disorder,XIST,0.554,5
carbohydrate metabolic disorder,MALAT1,0.55,6
carbohydrate metabolic disorder,PVT1,0.516,7
carbohydrate metabolic disorder,HOTAIR,0.488,8
carbohydrate metabolic disorder,HCP5,0.464,9
carbohydrate metabolic disorder,GAS5,0.444,10
carbohydrate metabolic disorder,ESRG,0.42,11
carbohydrate metabolic disorder,NEAT1,0.41,12
carbohydrate metabolic disorder,AFAP1-AS1,0.38,13
carbohydrate metabolic disorder,MIAT,0.376,14
carbohydrate metabolic disorder,GSTT1-AS1,0.356,15
carbohydrate metabolic disorder,PCA3,0.354,16
carbohydrate metabolic disorder,TP53COR1,0.332,17
carbohydrate metabolic disorder,DANCR,0.326,18
carbohydrate metabolic disorder,HULC,0.32,19
carbohydrate metabolic disorder,LINC00163,0.304,20
carbohydrate metabolic disorder,ATXN8OS,0.3,21
carbohydrate metabolic disorder,MIF-AS1,0.298,22
carbohydrate metabolic disorder,MIR155HG,0.296,23
carbohydrate metabolic disorder,GNAS-AS1,0.284,24
carbohydrate metabolic disorder,IL12A-AS1,0.274,25
carbohydrate metabolic disorder,THRIL,0.27,26
carbohydrate metabolic disorder,CDKN2A-AS1,0.262,27
carbohydrate metabolic disorder,BANCR,0.258,28
carbohydrate metabolic disorder,DISC2,0.254,29
carbohydrate metabolic disorder,HOTTIP,0.252,30
adenocarcinoma,CDKN2B-AS1,0.98,1
adenocarcinoma,PVT1,0.978,2
adenocarcinoma,UCA1,0.974,3
adenocarcinoma,BANCR,0.948,4
adenocarcinoma,XIST,0.938,5
adenocarcinoma,SPRY4-IT1,0.922,6
adenocarcinoma,KCNQ1OT1,0.918,7
adenocarcinoma,TUG1,0.902,8
adenocarcinoma,MIR17HG,0.876,9
adenocarcinoma,TUSC7,0.872,10
adenocarcinoma,HULC,0.866,11
adenocarcinoma,CCAT1,0.83,12
adenocarcinoma,BCYRN1,0.792,13
adenocarcinoma,WT1-AS,0.754,14
adenocarcinoma,LSINCT5,0.738,15
adenocarcinoma,GHET1,0.724,16
adenocarcinoma,IGF2-AS,0.72,17
adenocarcinoma,NPTN-IT1,0.7,18
adenocarcinoma,TP53COR1,0.69,19
adenocarcinoma,MIR155HG,0.676,20
adenocarcinoma,GACAT2,0.672,21
adenocarcinoma,LINC01133,0.666,22
adenocarcinoma,PCA3,0.652,23
adenocarcinoma,PCAT1,0.648,24
adenocarcinoma,CASC2,0.64,25
adenocarcinoma,SNHG12,0.638,26
adenocarcinoma,HOTAIRM1,0.634,27
adenocarcinoma,CASC16,0.618,28
adenocarcinoma,LINC00583,0.618,29
adenocarcinoma,PRNCR1,0.614,30
germ cell cancer,CDKN2B-AS1,0.938,1
germ cell cancer,MALAT1,0.914,2
germ cell cancer,KCNQ1OT1,0.842,3
germ cell cancer,MEG3,0.832,4
germ cell cancer,HOTAIR,0.824,5
germ cell cancer,PVT1,0.806,6
germ cell cancer,MIR17HG,0.8,7
germ cell cancer,GAS5,0.708,8
germ cell cancer,NEAT1,0.672,9
germ cell cancer,MIR155HG,0.646,10
germ cell cancer,HCP5,0.624,11
germ cell cancer,MIAT,0.566,12
germ cell cancer,TP53COR1,0.552,13
germ cell cancer,XIST,0.532,14
germ cell cancer,BANCR,0.524,15
germ cell cancer,AFAP1-AS1,0.502,16
germ cell cancer,DISC2,0.476,17
germ cell cancer,EWSAT1,0.454,18
germ cell cancer,LINC00961,0.454,19
germ cell cancer,PCA3,0.45,20
germ cell cancer,HULC,0.428,21
germ cell cancer,LINC00675,0.424,22
germ cell cancer,WT1-AS,0.41,23
germ cell cancer,RMST,0.404,24
germ cell cancer,SNHG12,0.396,25
germ cell cancer,HYMAI,0.388,26
germ cell cancer,BCYRN1,0.384,27
germ cell cancer,IGF2-AS,0.38,28
germ cell cancer,PRINS,0.378,29
germ cell cancer,TUG1,0.372,30
testicular cancer,KCNQ1OT1,0.74,1
testicular cancer,PVT1,0.73,2
testicular cancer,CDKN2B-AS1,0.72,3
testicular cancer,MIR17HG,0.712,4
testicular cancer,MALAT1,0.688,5
testicular cancer,H19,0.686,6
testicular cancer,MEG3,0.678,7
testicular cancer,HCP5,0.608,8
testicular cancer,HOTAIR,0.608,9
testicular cancer,GAS5,0.598,10
testicular cancer,NEAT1,0.578,11
testicular cancer,MIAT,0.56,12
testicular cancer,ESRG,0.558,13
testicular cancer,ATXN8OS,0.546,14
testicular cancer,TP53COR1,0.524,15
testicular cancer,LINCMD1,0.516,16
testicular cancer,MIR155HG,0.484,17
testicular cancer,PCA3,0.472,18
testicular cancer,DANCR,0.396,19
testicular cancer,DISC2,0.394,20
testicular cancer,BCYRN1,0.386,21
testicular cancer,RMST,0.358,22
testicular cancer,AFAP1-AS1,0.354,23
testicular cancer,CDKN2A-AS1,0.35,24
testicular cancer,THRIL,0.35,25
testicular cancer,PCAT5,0.34,26
testicular cancer,LINC00963,0.34,27
testicular cancer,PISRT1,0.336,28
testicular cancer,BANCR,0.336,29
testicular cancer,HULC,0.33,30
breast ductal carcinoma,MALAT1,0.782,1
breast ductal carcinoma,CDKN2B-AS1,0.758,2
breast ductal carcinoma,HOTAIR,0.724,3
breast ductal carcinoma,KCNQ1OT1,0.718,4
breast ductal carcinoma,MEG3,0.646,5
breast ductal carcinoma,NEAT1,0.622,6
breast ductal carcinoma,ESRG,0.616,7
breast ductal carcinoma,MIR17HG,0.606,8
breast ductal carcinoma,HULC,0.602,9
breast ductal carcinoma,BANCR,0.602,10
breast ductal carcinoma,GAS5,0.584,11
breast ductal carcinoma,HCP5,0.568,12
breast ductal carcinoma,XIST,0.52,13
breast ductal carcinoma,MIR155HG,0.506,14
breast ductal carcinoma,MIAT,0.488,15
breast ductal carcinoma,TP53COR1,0.486,16
breast ductal carcinoma,PCA3,0.464,17
breast ductal carcinoma,UCA1,0.458,18
breast ductal carcinoma,IGF2-AS,0.428,19
breast ductal carcinoma,TUG1,0.42,20
breast ductal carcinoma,BCYRN1,0.418,21
breast ductal carcinoma,DANCR,0.404,22
breast ductal carcinoma,LINCMD1,0.396,23
breast ductal carcinoma,SPRY4-IT1,0.382,24
breast ductal carcinoma,DISC2,0.358,25
breast ductal carcinoma,HNF1A-AS1,0.35,26
breast ductal carcinoma,ATXN8OS,0.35,27
breast ductal carcinoma,CDKN2A-AS1,0.348,28
breast ductal carcinoma,PVT1,0.34,29
breast ductal carcinoma,LINC00961,0.33,30
invasive ductal carcinoma,MALAT1,0.828,1
invasive ductal carcinoma,CDKN2B-AS1,0.8,2
invasive ductal carcinoma,KCNQ1OT1,0.766,3
invasive ductal carcinoma,HOTAIR,0.756,4
invasive ductal carcinoma,MEG3,0.688,5
invasive ductal carcinoma,NEAT1,0.67,6
invasive ductal carcinoma,MIR17HG,0.648,7
invasive ductal carcinoma,GAS5,0.644,8
invasive ductal carcinoma,HULC,0.642,9
invasive ductal carcinoma,ESRG,0.62,10
invasive ductal carcinoma,BANCR,0.616,11
invasive ductal carcinoma,HCP5,0.592,12
invasive ductal carcinoma,XIST,0.542,13
invasive ductal carcinoma,MIR155HG,0.516,14
invasive ductal carcinoma,TP53COR1,0.494,15
invasive ductal carcinoma,MIAT,0.488,16
invasive ductal carcinoma,UCA1,0.486,17
invasive ductal carcinoma,PCA3,0.478,18
invasive ductal carcinoma,PVT1,0.472,19
invasive ductal carcinoma,TUG1,0.444,20
invasive ductal carcinoma,IGF2-AS,0.444,21
invasive ductal carcinoma,BCYRN1,0.434,22
invasive ductal carcinoma,DANCR,0.412,23
invasive ductal carcinoma,LINCMD1,0.392,24
invasive ductal carcinoma,SPRY4-IT1,0.382,25
invasive ductal carcinoma,DISC2,0.36,26
invasive ductal carcinoma,CDKN2A-AS1,0.348,27
invasive ductal carcinoma,ATXN8OS,0.346,28
invasive ductal carcinoma,HNF1A-AS1,0.344,29
invasive ductal carcinoma,LINC00961,0.332,30
substance-related disorder,KCNQ1OT1,0.72,1
substance-related disorder,CDKN2B-AS1,0.694,2
substance-related disorder,MALAT1,0.684,3
substance-related disorder,H19,0.68,4
substance-related disorder,MIR17HG,0.588,5
substance-related disorder,HOTAIR,0.546,6
substance-related disorder,ESRG,0.534,7
substance-related disorder,CDKN2A-AS1,0.492,8
substance-related disorder,XIST,0.484,9
substance-related disorder,DISC2,0.468,10
substance-related disorder,HCP5,0.46,11
substance-related disorder,ATXN8OS,0.456,12
substance-related disorder,TP53COR1,0.426,13
substance-related disorder,MIR155HG,0.402,14
substance-related disorder,HAR1A,0.402,15
substance-related disorder,NEAT1,0.394,16
substance-related disorder,GAS5,0.382,17
substance-related disorder,BCYRN1,0.358,18
substance-related disorder,TUG1,0.316,19
substance-related disorder,PISRT1,0.314,20
substance-related disorder,PCA3,0.31,21
substance-related disorder,DAOA-AS1,0.296,22
substance-related disorder,PVT1,0.292,23
substance-related disorder,IGF2-AS,0.288,24
substance-related disorder,NRON,0.282,25
substance-related disorder,RMST,0.272,26
substance-related disorder,MCHR2-AS1,0.264,27
substance-related disorder,TP53TG1,0.258,28
substance-related disorder,LINC01556,0.256,29
substance-related disorder,AFAP1-AS1,0.254,30
carcinoma,XIST,0.994,1
carcinoma,TUG1,0.992,2
carcinoma,SNHG1,0.988,3
carcinoma,ZFAS1,0.978,4
carcinoma,CRNDE,0.974,5
carcinoma,PCAT1,0.97,6
carcinoma,LINC01556,0.968,7
carcinoma,LINC-PINT,0.968,8
carcinoma,HYMAI,0.966,9
carcinoma,EWSAT1,0.962,10
carcinoma,SOX2-OT,0.958,11
carcinoma,LINC00654,0.956,12
carcinoma,LSINCT5,0.956,13
carcinoma,SAMMSON,0.956,14
carcinoma,LINC00032,0.956,15
carcinoma,DANCR,0.954,16
carcinoma,TRERNA1,0.948,17
carcinoma,MIR7-3HG,0.948,18
carcinoma,TP53COR1,0.944,19
carcinoma,CASC2,0.94,20
carcinoma,LINC-ROR,0.938,21
carcinoma,CASC16,0.924,22
carcinoma,LINC00583,0.924,23
carcinoma,MIR124-2HG,0.918,24
carcinoma,RMST,0.91,25
carcinoma,SNHG4,0.91,26
carcinoma,HOTAIRM1,0.902,27
carcinoma,MIR155HG,0.9,28
carcinoma,NPSR1-AS1,0.896,29
carcinoma,PRNCR1,0.894,30
glioblastoma multiforme,MALAT1,0.888,1
glioblastoma multiforme,H19,0.872,2
glioblastoma multiforme,CDKN2B-AS1,0.754,3
glioblastoma multiforme,MEG3,0.74,4
glioblastoma multiforme,MIR17HG,0.682,5
glioblastoma multiforme,PVT1,0.618,6
glioblastoma multiforme,KCNQ1OT1,0.584,7
glioblastoma multiforme,GAS5,0.558,8
glioblastoma multiforme,NEAT1,0.422,9
glioblastoma multiforme,XIST,0.362,10
glioblastoma multiforme,HCP5,0.34,11
glioblastoma multiforme,AFAP1-AS1,0.294,12
glioblastoma multiforme,PCA3,0.286,13
glioblastoma multiforme,DANCR,0.272,14
glioblastoma multiforme,HULC,0.27,15
glioblastoma multiforme,ESRG,0.27,16
glioblastoma multiforme,BANCR,0.246,17
glioblastoma multiforme,EWSAT1,0.22,18
glioblastoma multiforme,BCYRN1,0.208,19
glioblastoma multiforme,RMST,0.2,20
glioblastoma multiforme,HOTTIP,0.194,21
glioblastoma multiforme,GSTT1-AS1,0.188,22
glioblastoma multiforme,TUG1,0.186,23
glioblastoma multiforme,LINC01556,0.184,24
glioblastoma multiforme,TP53COR1,0.18,25
glioblastoma multiforme,CCDC26,0.18,26
glioblastoma multiforme,MIAT,0.174,27
glioblastoma multiforme,DISC2,0.172,28
glioblastoma multiforme,ATXN8OS,0.156,29
glioblastoma multiforme,LINC00675,0.154,30
astrocytoma,MALAT1,0.918,1
astrocytoma,CDKN2B-AS1,0.748,2
astrocytoma,KCNQ1OT1,0.682,3
astrocytoma,MEG3,0.676,4
astrocytoma,MIR17HG,0.664,5
astrocytoma,PVT1,0.576,6
astrocytoma,GAS5,0.542,7
astrocytoma,NEAT1,0.492,8
astrocytoma,MIR155HG,0.344,9
astrocytoma,XIST,0.328,10
astrocytoma,HCP5,0.326,11
astrocytoma,AFAP1-AS1,0.302,12
astrocytoma,ESRG,0.28,13
astrocytoma,BANCR,0.262,14
astrocytoma,TP53COR1,0.248,15
astrocytoma,PCA3,0.24,16
astrocytoma,MIAT,0.228,17
astrocytoma,DANCR,0.226,18
astrocytoma,HULC,0.214,19
astrocytoma,BCYRN1,0.208,20
astrocytoma,TUG1,0.204,21
astrocytoma,GNAS-AS1,0.204,22
astrocytoma,LINC01556,0.2,23
astrocytoma,LINC00474,0.198,24
astrocytoma,ATXN8OS,0.174,25
astrocytoma,LINC00675,0.174,26
astrocytoma,IGF2-AS,0.17,27
astrocytoma,DISC2,0.164,28
astrocytoma,HOTTIP,0.152,29
astrocytoma,LINCMD1,0.144,30
malignant glioma,PVT1,0.994,1
malignant glioma,GAS5,0.96,2
malignant glioma,UCA1,0.932,3
malignant glioma,XIST,0.92,4
malignant glioma,TUG1,0.888,5
malignant glioma,KCNQ1OT1,0.88,6
malignant glioma,CCAT2,0.832,7
malignant glioma,WT1-AS,0.794,8
malignant glioma,BANCR,0.778,9
malignant glioma,BCYRN1,0.738,10
malignant glioma,TUSC7,0.734,11
malignant glioma,IGF2-AS,0.726,12
malignant glioma,MIR155HG,0.718,13
malignant glioma,CCAT1,0.708,14
malignant glioma,TP53COR1,0.698,15
malignant glioma,HNF1A-AS1,0.692,16
malignant glioma,LINC00675,0.684,17
malignant glioma,DLEU2,0.67,18
malignant glioma,GHET1,0.666,19
malignant glioma,HOTAIRM1,0.666,20
malignant glioma,HOTTIP,0.642,21
malignant glioma,MIR100HG,0.64,22
malignant glioma,ESRG,0.63,23
malignant glioma,SNHG4,0.63,24
malignant glioma,PCAT1,0.608,25
malignant glioma,LSINCT5,0.6,26
malignant glioma,KIRREL3-AS3,0.594,27
malignant glioma,MIR99AHG,0.57,28
malignant glioma,SNHG12,0.564,29
malignant glioma,LINC00271,0.552,30
nervous system cancer,HOTAIR,0.966,1
nervous system cancer,GAS5,0.958,2
nervous system cancer,XIST,0.932,3
nervous system cancer,TUG1,0.91,4
nervous system cancer,UCA1,0.902,5
nervous system cancer,NEAT1,0.894,6
nervous system cancer,KCNQ1OT1,0.874,7
nervous system cancer,TP53COR1,0.842,8
nervous system cancer,WT1-AS,0.818,9
nervous system cancer,CCAT1,0.768,10
nervous system cancer,SPRY4-IT1,0.744,11
nervous system cancer,CCAT2,0.74,12
nervous system cancer,HULC,0.738,13
nervous system cancer,DLEU2,0.728,14
nervous system cancer,HOTAIRM1,0.718,15
nervous system cancer,CDKN2A-AS1,0.694,16
nervous system cancer,MIAT,0.692,17
nervous system cancer,TUSC7,0.686,18
nervous system cancer,IGF2-AS,0.686,19
nervous system cancer,CCDC26,0.67,20
nervous system cancer,PISRT1,0.652,21
nervous system cancer,PSORS1C3,0.64,22
nervous system cancer,HCP5,0.632,23
nervous system cancer,HNF1A-AS1,0.622,24
nervous system cancer,MIR99AHG,0.622,25
nervous system cancer,ATXN8OS,0.61,26
nervous system cancer,SOX2-OT,0.604,27
nervous system cancer,SNHG4,0.602,28
nervous system cancer,LSINCT5,0.592,29
nervous system cancer,NALT1,0.59,30
germ cell and embryonal cancer,CDKN2B-AS1,0.718,1
germ cell and embryonal cancer,KCNQ1OT1,0.652,2
germ cell and embryonal cancer,MALAT1,0.588,3
germ cell and embryonal cancer,MEG3,0.576,4
germ cell and embryonal cancer,PVT1,0.526,5
germ cell and embryonal cancer,GNAS-AS1,0.516,6
germ cell and embryonal cancer,MIR17HG,0.502,7
germ cell and embryonal cancer,LINC00474,0.434,8
germ cell and embryonal cancer,ESRG,0.388,9
germ cell and embryonal cancer,XIST,0.372,10
germ cell and embryonal cancer,NEAT1,0.362,11
germ cell and embryonal cancer,GAS5,0.344,12
germ cell and embryonal cancer,HOTAIR,0.34,13
germ cell and embryonal cancer,PICSAR,0.338,14
germ cell and embryonal cancer,PCA3,0.332,15
germ cell and embryonal cancer,GSTT1-AS1,0.328,16
germ cell and embryonal cancer,TP53COR1,0.324,17
germ cell and embryonal cancer,AFAP1-AS1,0.324,18
germ cell and embryonal cancer,DANCR,0.324,19
germ cell and embryonal cancer,MIAT,0.312,20
germ cell and embryonal cancer,HCP5,0.308,21
germ cell and embryonal cancer,RMST,0.302,22
germ cell and embryonal cancer,MIR155HG,0.28,23
germ cell and embryonal cancer,SNHG11,0.268,24
germ cell and embryonal cancer,THRIL,0.258,25
germ cell and embryonal cancer,MIF-AS1,0.254,26
germ cell and embryonal cancer,HYMAI,0.252,27
germ cell and embryonal cancer,EWSAT1,0.252,28
germ cell and embryonal cancer,IL12A-AS1,0.244,29
germ cell and embryonal cancer,LINCMD1,0.238,30
hepatobiliary disease,PVT1,0.894,1
hepatobiliary disease,MALAT1,0.886,2
hepatobiliary disease,CDKN2B-AS1,0.882,3
hepatobiliary disease,H19,0.876,4
hepatobiliary disease,HOTAIR,0.836,5
hepatobiliary disease,KCNQ1OT1,0.784,6
hepatobiliary disease,HCP5,0.78,7
hepatobiliary disease,MEG3,0.74,8
hepatobiliary disease,MIR155HG,0.656,9
hepatobiliary disease,NEAT1,0.602,10
hepatobiliary disease,ESRG,0.544,11
hepatobiliary disease,XIST,0.506,12
hepatobiliary disease,BANCR,0.47,13
hepatobiliary disease,TP53COR1,0.438,14
hepatobiliary disease,MIAT,0.408,15
hepatobiliary disease,AFAP1-AS1,0.404,16
hepatobiliary disease,HULC,0.392,17
hepatobiliary disease,PCA3,0.384,18
hepatobiliary disease,TUG1,0.368,19
hepatobiliary disease,ATXN8OS,0.362,20
hepatobiliary disease,LINCMD1,0.354,21
hepatobiliary disease,DISC2,0.304,22
hepatobiliary disease,LINC00675,0.278,23
hepatobiliary disease,BCYRN1,0.264,24
hepatobiliary disease,GSTT1-AS1,0.25,25
hepatobiliary disease,CDKN2A-AS1,0.244,26
hepatobiliary disease,NRON,0.236,27
hepatobiliary disease,HOTTIP,0.216,28
hepatobiliary disease,THRIL,0.202,29
hepatobiliary disease,LINC01556,0.192,30
gastrointestinal system cancer,LINC00675,0.942,1
gastrointestinal system cancer,KIRREL3-AS3,0.932,2
gastrointestinal system cancer,SNHG12,0.924,3
gastrointestinal system cancer,LINC01133,0.906,4
gastrointestinal system cancer,EWSAT1,0.884,5
gastrointestinal system cancer,PTCSC3,0.864,6
gastrointestinal system cancer,PTCSC2,0.864,7
gastrointestinal system cancer,LINC00663,0.858,8
gastrointestinal system cancer,MIR155HG,0.852,9
gastrointestinal system cancer,LINC-PINT,0.852,10
gastrointestinal system cancer,MIR124-2HG,0.85,11
gastrointestinal system cancer,C5orf66-AS1,0.846,12
gastrointestinal system cancer,LINC-ROR,0.842,13
gastrointestinal system cancer,HYMAI,0.834,14
gastrointestinal system cancer,PICSAR,0.834,15
gastrointestinal system cancer,RMST,0.834,16
gastrointestinal system cancer,CBR3-AS1,0.834,17
gastrointestinal system cancer,DLEU2,0.83,18
gastrointestinal system cancer,LINC00473,0.82,19
gastrointestinal system cancer,ESRG,0.816,20
gastrointestinal system cancer,HCG4,0.816,21
gastrointestinal system cancer,LINC00472,0.81,22
gastrointestinal system cancer,ERICH1-AS1,0.802,23
gastrointestinal system cancer,LINC01628,0.802,24
gastrointestinal system cancer,CCDC26,0.8,25
gastrointestinal system cancer,C5orf66-AS2,0.796,26
gastrointestinal system cancer,LINC00654,0.792,27
gastrointestinal system cancer,SAMMSON,0.792,28
gastrointestinal system cancer,LINC00032,0.792,29
gastrointestinal system cancer,PCA3,0.79,30
gallbladder cancer,CDKN2B-AS1,0.926,1
gallbladder cancer,PVT1,0.802,2
gallbladder cancer,KCNQ1OT1,0.72,3
gallbladder cancer,NEAT1,0.66,4
gallbladder cancer,MIR17HG,0.648,5
gallbladder cancer,UCA1,0.62,6
gallbladder cancer,CCAT2,0.532,7
gallbladder cancer,XIST,0.504,8
gallbladder cancer,TUG1,0.476,9
gallbladder cancer,GAS5,0.45,10
gallbladder cancer,SPRY4-IT1,0.438,11
gallbladder cancer,WT1-AS,0.434,12
gallbladder cancer,BANCR,0.43,13
gallbladder cancer,BCYRN1,0.426,14
gallbladder cancer,HOTTIP,0.426,15
gallbladder cancer,AFAP1-AS1,0.414,16
gallbladder cancer,HULC,0.41,17
gallbladder cancer,MIR155HG,0.402,18
gallbladder cancer,LINC00312,0.374,19
gallbladder cancer,HNF1A-AS1,0.37,20
gallbladder cancer,HCG27,0.354,21
gallbladder cancer,NPSR1-AS1,0.35,22
gallbladder cancer,IGF2-AS,0.342,23
gallbladder cancer,LINC00675,0.338,24
gallbladder cancer,MIR503HG,0.324,25
gallbladder cancer,LINC00629,0.324,26
gallbladder cancer,HCP5,0.322,27
gallbladder cancer,LINC01426,0.32,28
gallbladder cancer,TUSC8,0.316,29
gallbladder cancer,GACAT2,0.31,30
peripheral nerve sheath neoplasm,H19,0.81,1
peripheral nerve sheath neoplasm,MIR17HG,0.39,2
peripheral nerve sheath neoplasm,MALAT1,0.378,3
peripheral nerve sheath neoplasm,HOTAIR,0.36,4
peripheral nerve sheath neoplasm,MEG3,0.31,5
peripheral nerve sheath neoplasm,KCNQ1OT1,0.222,6
peripheral nerve sheath neoplasm,GAS5,0.216,7
peripheral nerve sheath neoplasm,XIST,0.21,8
peripheral nerve sheath neoplasm,PCA3,0.186,9
peripheral nerve sheath neoplasm,CCDC26,0.164,10
peripheral nerve sheath neoplasm,DANCR,0.152,11
peripheral nerve sheath neoplasm,DLEU2,0.14,12
peripheral nerve sheath neoplasm,LINC00163,0.128,13
peripheral nerve sheath neoplasm,PVT1,0.118,14
peripheral nerve sheath neoplasm,MIR100HG,0.116,15
peripheral nerve sheath neoplasm,HYMAI,0.11,16
peripheral nerve sheath neoplasm,RMST,0.104,17
peripheral nerve sheath neoplasm,HULC,0.098,18
peripheral nerve sheath neoplasm,AFAP1-AS1,0.09,19
peripheral nerve sheath neoplasm,DISC2,0.09,20
peripheral nerve sheath neoplasm,GSTT1-AS1,0.09,21
peripheral nerve sheath neoplasm,TP53COR1,0.088,22
peripheral nerve sheath neoplasm,BCYRN1,0.084,23
peripheral nerve sheath neoplasm,BANCR,0.078,24
peripheral nerve sheath neoplasm,ESRG,0.076,25
peripheral nerve sheath neoplasm,MIAT,0.076,26
peripheral nerve sheath neoplasm,PCGEM1,0.076,27
peripheral nerve sheath neoplasm,CDKN2A-AS1,0.064,28
peripheral nerve sheath neoplasm,WT1-AS,0.064,29
peripheral nerve sheath neoplasm,MIR155HG,0.06,30
demyelinating disease,LINC01080,0.586,1
demyelinating disease,THRIL,0.58,2
demyelinating disease,MIF-AS1,0.56,3
demyelinating disease,ATXN8OS,0.536,4
demyelinating disease,GSTT1-AS1,0.532,5
demyelinating disease,IL12A-AS1,0.526,6
demyelinating disease,PISRT1,0.472,7
demyelinating disease,TP53TG1,0.436,8
demyelinating disease,LINCMD1,0.436,9
demyelinating disease,GNAS-AS1,0.426,10
demyelinating disease,LINC00163,0.42,11
demyelinating disease,XIST,0.412,12
demyelinating disease,LINC00299,0.39,13
